,Kingdom,Phylum,Class,Order,Family,Confidence
ASV9087,Bacteria,Armatimonadetes,Chthonomonadetes,Chthonomonadales,Chthonomonadaceae,1
ASV9090,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,1
ASV9091,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,1
ASV9095,Bacteria,Proteobacteria,Betaproteobacteria,SC-I-84,NA,1
ASV9098,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,1
ASV9102,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,1
ASV9108,Bacteria,Cyanobacteria,Chloroplast,Streptophyta,NA,1
ASV9114,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Parachlamydiaceae,1
ASV9116,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,0.67
ASV9117,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,1
ASV9121,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,1
ASV9122,Bacteria,Proteobacteria,Alphaproteobacteria,Ellin329,NA,1
ASV9123,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,0.67
ASV9124,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Parachlamydiaceae,0.67
ASV9125,Bacteria,Planctomycetes,Phycisphaerae,WD2101,NA,1
ASV9127,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,1
ASV9129,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,1
ASV9132,Bacteria,Elusimicrobia,Elusimicrobia,FAC88,NA,1
ASV9137,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,1
ASV9139,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,NA,1
ASV9141,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,NA,1
ASV9144,Bacteria,FBP,NA,NA,NA,1
ASV9146,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,NA,1
ASV9148,Bacteria,Cyanobacteria,Chloroplast,Streptophyta,NA,1
ASV9149,Bacteria,OD1,SM2F11,NA,NA,1
ASV9153,Bacteria,Cyanobacteria,Chloroplast,NA,NA,1
ASV9154,Bacteria,TM6,SJA-4,NA,NA,1
ASV9155,Bacteria,GN02,3BR-5F,NA,NA,1
ASV9156,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,1
ASV9158,Bacteria,TM6,SJA-4,NA,NA,1
ASV9160,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,1
ASV9164,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,1
ASV9165,Bacteria,Elusimicrobia,Elusimicrobia,FAC88,NA,1
ASV9169,Bacteria,Proteobacteria,Betaproteobacteria,NA,NA,0.67
ASV9170,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,NA,1
ASV9171,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,NA,1
ASV9179,Bacteria,Proteobacteria,Betaproteobacteria,Root;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,Root;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,1
ASV9180,Bacteria,Tenericutes,Mollicutes,Anaeroplasmatales,Anaeroplasmataceae,1
ASV9183,Bacteria,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,1
ASV9185,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,NA,0.67
ASV9191,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,1
ASV9198,Bacteria,Proteobacteria,Deltaproteobacteria,Spirobacillales,NA,1
ASV9204,Bacteria,Proteobacteria,Deltaproteobacteria,NA,NA,1
ASV9206,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,1
ASV9207,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales,0.67
ASV9208,Bacteria,OD1,ZB2,NA,NA,1
ASV9210,Bacteria,Proteobacteria,Deltaproteobacteria,NA,NA,1
ASV9215,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,NA,1
ASV9217,Bacteria,Acidobacteria,Chloracidobacteria,RB41,NA,1
ASV9218,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,1
ASV9223,Bacteria,Planctomycetes,Phycisphaerae,WD2101,NA,1
ASV9224,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Parachlamydiaceae,0.67
ASV9227,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,1
ASV9228,Bacteria,TM7,SC3,NA,NA,1
ASV9230,Bacteria,Gemmatimonadetes,Gemm-3,NA,NA,1
ASV9231,Bacteria,Tenericutes,Mollicutes,Anaeroplasmatales,Anaeroplasmataceae,1
ASV9232,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,NA,1
ASV9233,Bacteria,Planctomycetes,Phycisphaerae,WD2101,NA,1
ASV9235,Bacteria,Proteobacteria,Deltaproteobacteria,MIZ46,NA,1
ASV9238,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,SB-1,1
ASV9244,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,NA,1
ASV9245,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,1
ASV9246,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,1
ASV9248,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,1
ASV9249,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,NA,1
ASV9250,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,1
ASV9253,Bacteria,OP11,OP11-3,NA,NA,1
ASV9256,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,1
ASV9260,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,1
ASV9261,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,0.67
ASV9262,Bacteria,Acidobacteria,Acidobacteria-6,CCU21,NA,1
ASV9264,Bacteria,Proteobacteria,Deltaproteobacteria,Spirobacillales,NA,1
ASV9266,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,1
ASV9267,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,1
ASV9268,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,1
ASV9270,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,NA,1
ASV9273,Bacteria,Verrucomicrobia,Verruco-5,LD1-PB3,NA,0.67
ASV9274,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,1
ASV9277,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,1
ASV9280,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,1
