,Name,Plant_ID,Type,Experiment,Cohort,Harvested,Age,Site,Treatment,Line,Genotype,Block
M1981P573,8_0976.root,8_0976,root,ecotypes,2008,2011,3,Mah,field,JAM.1.A,JAM,8_21
M1981P575,8_0914.root,8_0914,root,ecotypes,2008,2011,3,Mil,field,MIL.32.A1,MIL,8_20
M1981P577,8_0573.leaf,8_0573,leaf,ecotypes,2008,2011,3,Mah,field,PAR.9.A1,PAR,8_12
M1981P578,8_0392.root,8_0392,root,ecotypes,2008,2011,3,Mah,field,JAM.7.B,JAM,8_09
M1981P582,8_1023.leaf,8_1023,leaf,ecotypes,2008,2011,3,Jam,field,MIL.68.B,MIL,8_22
M1981P584,8_0864.leaf,8_0864,leaf,ecotypes,2008,2011,3,Mah,field,SILupper.2,SIL,8_18
M1981P586,8_0612.leaf,8_0612,leaf,ecotypes,2008,2011,3,Jam,field,MIL.68.B,MIL,8_13
M1981P587,8_0090.leaf,8_0090,leaf,ecotypes,2008,2011,3,Mah,field,SILLow.5,SIL,8_02
M1981P588,8_0546.root,8_0546,root,ecotypes,2008,2011,3,Mah,field,SILupper.2,SIL,8_12
M1981P589,8_0114.root,8_0114,root,ecotypes,2008,2011,3,Mil,field,MIL.21.B2,MIL,8_03
M1981P591,8_1322.root,8_1322,root,ecotypes,2008,2011,3,Mah,field,JAM.7.B,JAM,8_28
M1981P593,8_1389.leaf,8_1389,leaf,ecotypes,2008,2011,3,Jam,field,PAR.9.A1,PAR,8_29
M1981P594,8_1335.root,8_1335,root,ecotypes,2008,2011,3,Mah,field,SILupper.2,SIL,8_28
M1981P597,8_0545.leaf,8_0545,leaf,ecotypes,2008,2011,3,Mah,field,SILLow.7,SIL,8_12
M1981P598,8_1003.root,8_1003,root,ecotypes,2008,2011,3,Mah,field,PAR.29.B2,PAR,8_21
M1981P599,8_0087.leaf,8_0087,leaf,ecotypes,2008,2011,3,Mah,field,MIL.20.B,MIL,8_02
M1981P606,8_0074.root,8_0074,root,ecotypes,2008,2011,3,Mah,field,JAM.15.A,JAM,8_02
M1981P609,8_0589.leaf,8_0589,leaf,ecotypes,2008,2011,3,Jam,field,JAM.6.A,JAM,8_13
M1981P611,8_0087.root,8_0087,root,ecotypes,2008,2011,3,Mah,field,MIL.20.B,MIL,8_02
M1981P614,8_0942.root,8_0942,root,ecotypes,2008,2011,3,Mil,field,MIL.53.A,MIL,8_20
